algorithm,k,time_seconds,initial_cost,random_state
k-means++,100,1.6026480197906494,24542.371373254784,42
k-means++,200,3.940445899963379,23305.637515027003,42
k-means++,300,4.749835014343262,22506.290259735528,42
k-means++,400,7.910893678665161,21934.78551483726,42
k-means++,500,8.028672933578491,21576.738827318644,42
RS-k-means++,100,11.810978889465332,24580.344240221923,42
RS-k-means++,200,10.762131929397583,23319.566642929487,42
RS-k-means++,300,8.8472580909729,22647.347502512734,42
RS-k-means++,400,13.058247327804565,22078.10873579782,42
RS-k-means++,500,10.716645956039429,21708.00842285616,42
AFK-MC²,100,0.377791166305542,24254.800694933936,42
AFK-MC²,200,1.3218910694122314,23346.684663018976,42
AFK-MC²,300,2.851567029953003,22636.563404361543,42
AFK-MC²,400,4.901808977127075,22220.80780851891,42
AFK-MC²,500,7.580826759338379,21747.0968098324,42
