algorithm,k,time_seconds,initial_cost,random_state,status
k-means++,100,1.6299850940704346,24542.371373254784,42,success
k-means++,200,3.9526138305664062,23305.637515027003,42,success
k-means++,300,4.75183892250061,22506.290259735528,42,success
k-means++,400,7.9214630126953125,21934.78551483726,42,success
k-means++,500,7.907171010971069,21576.738827318644,42,success
RS-k-means++ (Flat),100,0.0995631217956543,24765.665148113265,42,success
RS-k-means++ (Flat),200,0.16960787773132324,23624.899772711913,42,success
RS-k-means++ (Flat),300,0.27228379249572754,22707.23363276026,42,success
RS-k-means++ (Flat),400,0.35097289085388184,22192.75743186145,42,success
RS-k-means++ (Flat),500,0.657188892364502,21660.134642144247,42,success
RS-k-means++ (LSH),100,8.255584955215454,24580.344240221923,42,success
RS-k-means++ (LSH),200,7.839142084121704,23319.566642929487,42,success
RS-k-means++ (LSH),300,10.282952785491943,22647.347502512734,42,success
RS-k-means++ (LSH),400,9.655959129333496,22078.10873579782,42,success
RS-k-means++ (LSH),500,9.562204122543335,21708.00842285616,42,success
RS-k-means++ (IVFFlat),100,0.1027669906616211,24765.665148113265,42,success
RS-k-means++ (IVFFlat),200,0.1876969337463379,23624.899772711913,42,success
RS-k-means++ (IVFFlat),300,0.2869541645050049,22707.23363276026,42,success
RS-k-means++ (IVFFlat),400,0.3857111930847168,22192.75743186145,42,success
RS-k-means++ (IVFFlat),500,0.4902970790863037,21660.134642144247,42,success
RS-k-means++ (HNSW),100,0.09079599380493164,24765.665148113265,42,success
RS-k-means++ (HNSW),200,0.153656005859375,23624.899772711913,42,success
RS-k-means++ (HNSW),300,0.20996594429016113,22707.23363276026,42,success
RS-k-means++ (HNSW),400,0.25910210609436035,22192.75743186145,42,success
RS-k-means++ (HNSW),500,0.31805872917175293,21660.134642144247,42,success
AFK-MC²,100,0.3748130798339844,24430.715024463785,42,success
AFK-MC²,200,1.3008732795715332,23215.055766250385,42,success
AFK-MC²,300,2.8188140392303467,22557.3267691657,42,success
AFK-MC²,400,4.898935079574585,22180.51874555803,42,success
AFK-MC²,500,7.555572986602783,21549.27432869075,42,success
Fast-LSH,100,1.1123769283294678,24240.1327166474,42,success
Fast-LSH,200,1.0532729625701904,23204.8426170604,42,success
Fast-LSH,300,1.1559300422668457,22486.393312081673,42,success
Fast-LSH,400,1.338205337524414,22050.093777057995,42,success
Fast-LSH,500,1.733917236328125,21587.510670247757,42,success
